Name,North/South,East/West,Gender,Units,Tenants,Bed,Bath,Contracts,FW Dep,Nonref FW,Private FW,Shared FW,SS Dep,SS NonRef,SS Private,SS Shared,,,
Academy Arms Apts.,469,100,M,15,4,2,2,,$250.00 ,$0.00 ,,$220.00 ,$50.00 ,$0.00 ,,$99.00 ,,,
Alpine Court Apts.,600,366,F,21,4,2,1,,$250.00 ,$50.00 ,,$220.00 ,$150.00 ,$50.00 ,,$90.00 ,,,
Alpine Village,1340,-200,M F,162,4,4,2,,,$0.00 ,$325.00 ,,,$0.00 ,,,,,
Applewood Apts.,535,400,F,10,4,2,1,,$200.00 ,$30.00 ,,$250.00 ,$200.00 ,$30.00 ,$150.00 ,$100.00 ,,,
Arcadia,450,1065,M F,16,5,3,1,,$200.00 ,$20.00 ,$289.00 ,$219.00 ,$200.00 ,$20.00 ,$155.00 ,$99.00 ,,,
Atrium Terrace Apts.,770,0,F,14,4,2,2,,$250.00 ,$11.25 ,,$254.00 ,$250.00 ,$11.25 ,,$188.00 ,,,
Banbridge Square,584,300,F,12,4,2,2,,$250.00 ,$20.00 ,,$300.00 ,$250.00 ,$20.00 ,,$195.00 ,,,
Berkshire Apts.,400,41,M,10,4,2,1,,$200.00 ,$40.00 ,$350.00 ,$230.00 ,$200.00 ,$20.00 ,$200.00 ,$110.00 ,,,
Bountiful Court,300,185,M F,39,5,2,2,,$150.00 ,$30.00 ,,$244.00 ,$150.00 ,$15.00 ,,$90.00 ,,,
Brittany Apts. ,500,243,M F,44,4,2,1,,$200.00 ,$24.00 ,,$249.00 ,$100.00 ,$12.00 ,,$110.00 ,,,
Campus Plaza,800,669,M F,68,5,2,1,,$240.00 ,$0.00 ,,$240.00 ,$114.00 ,$0.00 ,,$114.00 ,,,
Campus View North,738,200,F,8,4,4,2,,$300.00 ,$75.00 ,$335.00 ,,,,,,,,
Campus Villa,960,-182,F,8,5,2.5,1.5,,$250.00 ,$50.00 ,,$235.00 ,$150.00 ,$50.00 ,,$95.00 ,,,
Canyon Terrace Apts.,1305,150,M F,28,4,2,1,,$210.00 ,,,$240.00 ,$210.00 ,,$175.00 ,$115.00 ,,,
Carriage Cove Apts.,1720,-606,M F,120,4,4,2,,$200.00 ,$50.00 ,$289.00 ,,$200.00 ,$50.00 ,$155.00 ,,,,
Casa Dea Apts.,660,200,M F,18,4,2,1,,$200.00 ,$30.00 ,$325.00 ,$259.00 ,$200.00 ,$30.00 ,$250.00 ,$110.00 ,,,
Centennial Apts.,380,1020,M F,78,6,3,2,,$200.00 ,$20.00 ,,$229.00 ,$200.00 ,$20.00 ,$155.00 ,$105.00 ,,,
Centennial II Apts.,450,1000,M F,16,6,3,1,,$200.00 ,$20.00 ,,$209.00 ,$200.00 ,$20.00 ,$155.00 ,$99.00 ,,,
Cinnamon Tree Apts.,1285,-200,M F,64,3,2.5,1.5,,$200.00 ,,,$229.00 ,$100.00 ,,,$104.50 ,,,
Continental Apts.,562,200,M,18,4,2,1,,$200.00 ,$40.00 ,,$207.00 ,$200.00 ,$20.00 ,$165.00 ,$100.00 ,,,
Cox Apts.,942,0,F,11,6,3,1,,$225.00 ,$35.00 ,,$225.00 ,$225.00 ,$35.00 ,,$120.00 ,,,
Crown Apts.,600,455,F,12,6,3,2,,$200.00 ,$40.00 ,$350.00 ,$240.00 ,$200.00 ,$20.00 ,$250.00 ,$120.00 ,,,
DeVere Court,650,-100,F,8,6,3,2,,$200.00 ,$15.00 ,,$235.00 ,$200.00 ,$15.00 ,$150.00 ,$99.00 ,,,
East Cambridge,750,765,F,1,4,2,2,,$200.00 ,$60.00 ,,$270.00 ,$200.00 ,$30.00 ,,$160.00 ,,,
Elms Apts.,745,100,M F,59,6,3,2,,$200.00 ,$30.00 ,,$280.00 ,$200.00 ,$15.00 ,,$99.00 ,,,
FleurDeLis Apts.,275,300,F,15,4,4,2,,$500.00 ,$40.00 ,$375.00 ,,$300.00 ,$40.00 ,$275.00 ,,,,
Foxwood Apts.,835,-100,M F,16,5,3,1,,$300.00 ,$50.00 ,,$265.00 ,$150.00 ,$50.00 ,$150.00 ,$95.00 ,,,
Glen Haven Apts.,600,340,M,6,5,2.5,1.5,,$200.00 ,$40.00 ,$350.00 ,$260.00 ,$200.00 ,$20.00 ,$250.00 ,$135.00 ,,,
Granny Apts.,760,300,F,8,4,4,2,,$200.00 ,$30.00 ,$375.00 ,,$200.00 ,$30.00 ,$200.00 ,,,,
Kensington,750,788,M,1,4,2,2,,$200.00 ,$30.00 ,,$290.00 ,$200.00 ,$30.00 ,,$290.00 ,,,
Kimball Apts.,659,300,M,6,5,3,1,,$200.00 ,$24.00 ,$280.00 ,$230.00 ,$100.00 ,$12.00 ,$140.00 ,$112.50 ,,,
Kimball Apts.,659,300,F,6,4.5,2,1,,$200.00 ,$24.00 ,,$240.00 ,$100.00 ,$12.00 ,,$120.00 ,,,
King Henry Apts.,450,1130,M F,120,5,3,1.5,,$200.00 ,,$344.00 ,$254.00 ,$200.00 ,,$254.00 ,$119.00 ,,,
LaGrande Apts.,240,500,M F,24,3.5,2,1,,$200.00 ,$40.00 ,$279.00 ,$207.00 ,$200.00 ,$20.00 ,$179.00 ,$105.00 ,,,
"Lodges at Glenwood, The",1565,0,M F,196,6,3,2,,$200.00 ,,,$240.00 ,$200.00 ,,$169.00 ,$119.00 ,,,
Marin Apts.,442,500,F,12,3.5,2,1,,$150.00 ,$40.00 ,$325.00 ,$240.00 ,$150.00 ,$40.00 ,$180.00 ,$105.00 ,,,
Middle Cambridge,750,737,F,1,4,2,2,,$200.00 ,$60.00 ,,$270.00 ,$200.00 ,$30.00 ,,$160.00 ,,,
Miller Apts.,580,100,M F,24,6,3,2,,$200.00 ,$40.00 ,$285.00 ,$230.00 ,$200.00 ,$20.00 ,$185.00 ,$105.00 ,,,
Park Plaza Apts.,910,900,M F,44,5,2,1,,$250.00 ,$30.00 ,,$222.50 ,$150.00 ,$30.00 ,$175.00 ,$112.50 ,,,
Raintree Commons,1849,-200,M F,154,6,3,2,,$200.00 ,,,$240.00 ,$200.00 ,,$169.00 ,$119.00 ,,,
Scott Apts.,300,276,M,1,3,2,1,,$400.00 ,$40.00 ,$270.00 ,$265.00 ,$200.00 ,$40.00 ,$160.00 ,$155.00 ,,,
Single Tree,832,-820,F,12,4,3,2,,$275.00 ,$30.00 ,$290.00 ,$260.00 ,$275.00 ,$15.00 ,$290.00 ,$260.00 ,,,
Sparks II Apts.,450,999,M F,37,5,2.5,1.5,,$200.00 ,$24.00 ,,$232.50 ,$100.00 ,$12.00 ,,$104.50 ,,,
Springtree Apts.,700,-57,M,6,3,3,2,,$200.00 ,$40.00 ,$262.50 ,,$200.00 ,$40.00 ,$142.50 ,,,,
Spyglas,737,600,M F,18,4,4,2,,$375.00 ,$30.00 ,$375.00 ,,$250.00 ,$15.00 ,$250.00 ,,,,
Stadium Terrace,1960,150,M F,44,5,2.5,1.5,,$150.00 ,$30.00 ,,$225.00 ,$150.00 ,$15.00 ,$99.00 ,$79.00 ,,,
Stonebridge,820,761,F,1,3,2,1,,$200.00 ,$60.00 ,$290.00 ,$275.00 ,$200.00 ,$30.00 ,$150.00 ,$140.00 ,,,
Stonebridge,820,761,F,1,3,2,1,,$200.00 ,$60.00 ,$290.00 ,$275.00 ,$200.00 ,$30.00 ,$150.00 ,$140.00 ,,,
Summerhayes,610,-100,M,12,3.5,2,1,,$200.00 ,$40.00 ,$279.00 ,$207.00 ,$200.00 ,$20.00 ,$179.00 ,$105.00 ,,,
Tanner Apts.,400,139,M,9,6,3,2,,$199.00 ,,,$299.00 ,$95.00 ,,,$95.00 ,,,
University Park Apts.,700,225,M,12,6,3,2,,$175.00 ,$30.00 ,,$230.00 ,$105.00 ,$15.00 ,$155.00 ,$105.00 ,,,
University Villa Apts.,865,-160,M F,124,4,2,1,,,,,$225.00 ,,,$160.00 ,$109.00 ,,,
West Cambridge,788,700,M,12,4,2,2,,$200.00 ,$60.00 ,,$270.00 ,$200.00 ,$30.00 ,,$150.00 ,,,
West Cambridge,788,700,M,12,4,2,2,,$200.00 ,$60.00 ,,$275.00 ,$200.00 ,$30.00 ,,$150.00 ,,,
9th East Duplex,1418,900,F,2,4,3,1,,$250.00 ,$27.00 ,$292.50 ,$275.00 ,$100.00 ,$27.00 ,$162.50 ,$125.00 ,,,
